Year,Region,gruppe.beschaeftigt,Value
2019,Enzkreis,Pflegegeld,5375
2025,Enzkreis,Pflegegeld,5708
2030,Enzkreis,Pflegegeld,5946
2019,Enzkreis,ambulante Pflege,2981
2025,Enzkreis,ambulante Pflege,3249
2030,Enzkreis,ambulante Pflege,3430
2019,Enzkreis,vollstat. Pflege (inkl. Kurzzeitpflege),1796
2025,Enzkreis,vollstat. Pflege (inkl. Kurzzeitpflege),1981
2030,Enzkreis,vollstat. Pflege (inkl. Kurzzeitpflege),2124
2019,Enzkreis,Pflegegrad 1: Entlastungsbeitrag,427
2025,Enzkreis,Pflegegrad 1: Entlastungsbeitrag,439
2030,Enzkreis,Pflegegrad 1: Entlastungsbeitrag,459
